"value"	"Analysis_type"	"Comparison"
"1"	"Elf3"	"gene"	"i_vs_rest"
"2"	"Ralgps2"	"gene"	"i_vs_rest"
"3"	"Selp"	"gene"	"i_vs_rest"
"4"	"Batf3"	"gene"	"i_vs_rest"
"5"	"Nacc2"	"gene"	"i_vs_rest"
"6"	"1700057H21Rik"	"gene"	"i_vs_rest"
"7"	"Arl14ep"	"gene"	"i_vs_rest"
"8"	"Ppp1r14d"	"gene"	"i_vs_rest"
"9"	"Erv3"	"gene"	"i_vs_rest"
"10"	"Rtf2"	"gene"	"i_vs_rest"
"11"	"Pcmtd2"	"gene"	"i_vs_rest"
"12"	"Ralyl"	"gene"	"i_vs_rest"
"13"	"1700125G22Rik"	"gene"	"i_vs_rest"
"14"	"Phc3"	"gene"	"i_vs_rest"
"15"	"Gm5148"	"gene"	"i_vs_rest"
"16"	"Bglap"	"gene"	"i_vs_rest"
"17"	"Mex3a"	"gene"	"i_vs_rest"
"18"	"Ivl"	"gene"	"i_vs_rest"
"19"	"Chia1"	"gene"	"i_vs_rest"
"20"	"Esrp1"	"gene"	"i_vs_rest"
"21"	"Grin3a"	"gene"	"i_vs_rest"
"22"	"Zfp462"	"gene"	"i_vs_rest"
"23"	"Tle1"	"gene"	"i_vs_rest"
"24"	"Izumo3"	"gene"	"i_vs_rest"
"25"	"Gm12789"	"gene"	"i_vs_rest"
"26"	"Tmem69"	"gene"	"i_vs_rest"
"27"	"Prdm2"	"gene"	"i_vs_rest"
"28"	"Gm13078"	"gene"	"i_vs_rest"
"29"	"Gm572"	"gene"	"i_vs_rest"
"30"	"Tnfrsf14"	"gene"	"i_vs_rest"
"31"	"Gnb1"	"gene"	"i_vs_rest"
"32"	"Gm21671"	"gene"	"i_vs_rest"
"33"	"9230114K14Rik"	"gene"	"i_vs_rest"
"34"	"Gc"	"gene"	"i_vs_rest"
"35"	"Rabgef1"	"gene"	"i_vs_rest"
"36"	"1700049E22Rik"	"gene"	"i_vs_rest"
"37"	"Psg-ps1"	"gene"	"i_vs_rest"
"38"	"Cyp2s1"	"gene"	"i_vs_rest"
"39"	"Cldnd2"	"gene"	"i_vs_rest"
"40"	"Slco3a1"	"gene"	"i_vs_rest"
"41"	"Ces2b"	"gene"	"i_vs_rest"
"42"	"Trim42"	"gene"	"i_vs_rest"
"43"	"2410006H16Rik"	"gene"	"i_vs_rest"
"44"	"Tcap"	"gene"	"i_vs_rest"
"45"	"Itgb3"	"gene"	"i_vs_rest"
"46"	"1700092K14Rik"	"gene"	"i_vs_rest"
"47"	"Gm11733"	"gene"	"i_vs_rest"
"48"	"Hist1h3c"	"gene"	"i_vs_rest"
"49"	"Cenpp"	"gene"	"i_vs_rest"
"50"	"Nlrp4f"	"gene"	"i_vs_rest"
"51"	"Gm9776"	"gene"	"i_vs_rest"
"52"	"Gm21761"	"gene"	"i_vs_rest"
"53"	"LOC100861615"	"gene"	"i_vs_rest"
"54"	"Gm17026"	"gene"	"i_vs_rest"
"55"	"1700022A22Rik"	"gene"	"i_vs_rest"
"56"	"Ly6c2"	"gene"	"i_vs_rest"
"57"	"Ano6"	"gene"	"i_vs_rest"
"58"	"Gm5414"	"gene"	"i_vs_rest"
"59"	"Nckap1l"	"gene"	"i_vs_rest"
"60"	"1700010I14Rik"	"gene"	"i_vs_rest"
"61"	"Vmn2r112"	"gene"	"i_vs_rest"
"62"	"Mrps18b"	"gene"	"i_vs_rest"
"63"	"Spry4"	"gene"	"i_vs_rest"
"64"	"Chst10"	"promoter"	"i_vs_rest"
"65"	"Gm3646"	"promoter"	"i_vs_rest"
"66"	"Nabp1"	"promoter"	"i_vs_rest"
"67"	"Ihh"	"promoter"	"i_vs_rest"
"68"	"Slc4a3"	"promoter"	"i_vs_rest"
"69"	"Serpinb5"	"promoter"	"i_vs_rest"
"70"	"Cadm3"	"promoter"	"i_vs_rest"
"71"	"9130409I23Rik"	"promoter"	"i_vs_rest"
"72"	"Hsd17b12"	"promoter"	"i_vs_rest"
"73"	"Gm13985"	"promoter"	"i_vs_rest"
"74"	"Tasp1"	"promoter"	"i_vs_rest"
"75"	"Phc3"	"promoter"	"i_vs_rest"
"76"	"Kcnab1"	"promoter"	"i_vs_rest"
"77"	"Bglap"	"promoter"	"i_vs_rest"
"78"	"Tdpoz1"	"promoter"	"i_vs_rest"
"79"	"Slc35a3"	"promoter"	"i_vs_rest"
"80"	"Esrp1"	"promoter"	"i_vs_rest"
"81"	"Grin3a"	"promoter"	"i_vs_rest"
"82"	"Gm12505"	"promoter"	"i_vs_rest"
"83"	"Cyp4b1"	"promoter"	"i_vs_rest"
"84"	"Spata21"	"promoter"	"i_vs_rest"
"85"	"Tmem51"	"promoter"	"i_vs_rest"
"86"	"Cfap74"	"promoter"	"i_vs_rest"
"87"	"Akr1b8"	"promoter"	"i_vs_rest"
"88"	"Cald1"	"promoter"	"i_vs_rest"
"89"	"Rho"	"promoter"	"i_vs_rest"
"90"	"Fxyd4"	"promoter"	"i_vs_rest"
"91"	"Gm7457"	"promoter"	"i_vs_rest"
"92"	"Zfp27"	"promoter"	"i_vs_rest"
"93"	"Capns1"	"promoter"	"i_vs_rest"
"94"	"Scgb1b7"	"promoter"	"i_vs_rest"
"95"	"Scgb2b27"	"promoter"	"i_vs_rest"
